term,name,section,component,title,room_Code,start_Time,end_Time,monday,tuesday,wednesday,thursday,friday,online,pre_Req,co_Req,equivalent,association,lab_Required,require_Engineer,id
Fall,COMP201,DD,LEC,INTRODUCTION TO COMPUTING,H620,1065,1215,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,1000,FALSE,NOENG,19
Fall,COMP201,DDDA,TUT,INTRODUCTION TO COMPUTING,H544,1230,1280,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,1000,FALSE,NOENG,28
Fall,COMP201,DDDB,TUT,INTRODUCTION TO COMPUTING,H540,1230,1280,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,1000,FALSE,NOENG,32
Fall,COMP218,EC,LEC,FUNDAMENTALS OF PROGRAMMING,ONLINE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,1001,FALSE,NOENG,60
Fall,COMP218,EC A,TUT,FUNDAMENTALS OF PROGRAMMING,H929,1065,1165,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,1001,FALSE,NOENG,61
Fall,COMP218,EC B,TUT,FUNDAMENTALS OF PROGRAMMING,H929,615,715,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,1001,FALSE,NOENG,62
Fall,COMP218,EC C,TUT,FUNDAMENTALS OF PROGRAMMING,H967,1065,1165,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,1001,FALSE,NOENG,63
Fall,COMP218,EC D,TUT,FUNDAMENTALS OF PROGRAMMING,H967,615,715,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,1001,FALSE,NOENG,64
Winter,COMP218,EC,LEC,FUNDAMENTALS OF PROGRAMMING,ONLINE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,1002,FALSE,NOENG,398
Winter,COMP218,EC A,TUT,FUNDAMENTALS OF PROGRAMMING,H967,1065,1165,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,1002,FALSE,NOENG,399
Winter,COMP218,EC B,TUT,FUNDAMENTALS OF PROGRAMMING,H967,615,715,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,1002,FALSE,NOENG,400
Winter,COMP218,EC C,TUT,FUNDAMENTALS OF PROGRAMMING,H903,615,715,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,1002,FALSE,NOENG,401
Fall,COMP228,U,LEC,SYSTEM HARDWARE,H407,795,870,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,,SOEN 228,1003,FALSE,NOENG,142
Fall,COMP228,U UA,TUT,SYSTEM HARDWARE,H523,885,985,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,SOEN 228,1003,FALSE,NOENG,144
Fall,COMP228,U UB,TUT,SYSTEM HARDWARE,H623,885,985,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,SOEN 228,1003,FALSE,NOENG,146
Fall,COMP228,U UC,TUT,SYSTEM HARDWARE,H427,885,985,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,SOEN 228,1003,FALSE,NOENG,148
Fall,COMP228,U UD,TUT,SYSTEM HARDWARE,H625,885,985,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,SOEN 228,1003,FALSE,NOENG,150
