term	subject	courseNumber	section	component	name	location	startTime	endTime	monday	tuesday	wednesday	thursday	friday	online	enrollmentCap	preReq	coReq	equivalent	association	requireEngineer
Summer	COMP	354	BB	LEC	SOFTWARE ENGINEERING I	MBS1.430	18.30.00	21.00.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	60	"COMP352, ENCS282"		COEN 431	1057	NOENG
Summer	COMP	354	BBBE	TUT	SOFTWARE ENGINEERING I	MBS1.255	17.30.00	18.20.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	30	"COMP352, ENCS282"		COEN 431	1057	NOENG
Summer	COMP	354	BBBF	TUT	SOFTWARE ENGINEERING I	MBS2.445	17.30.00	18.20.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	30	"COMP352, ENCS282"		COEN 431	1057	NOENG
Fall	COMP	248	A-X	LAB	OBJ-ORIENTED PROGRAMMING I	H917	19.45.00	20.45.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	25					
Fall	COMP	248	B-X	LAB	OBJ-ORIENTED PROGRAMMING I	H917	10.15.00	11.15.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	25					
Fall	COMP	248	C-X	LAB	OBJ-ORIENTED PROGRAMMING I	H917	20.30.00	21.30.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	25					
Fall	COMP	249	D	LEC	OBJ-ORIENTED PROGRAMMING II	H411	14.45.00	16.00.00	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	80	COMP248			1024	N
Fall	COMP	445	D	LEC	DATA COMM + COMP NETWORKS	FGB060	10.15.00	11.30.00	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	103	COMP346				NOENG
Fall	COMP	479	D	LEC	INFO. RETRIEVAL & WEB SEARCH	FGB040	13.15.00	14.30.00	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	53	"COMP352,(ENGR371,COMP233)"				NOENG
Fall	COMP	345	D	LEC	"ADVANCED PROGRAM DESIGN, C++"	H553	13.15.00	14.30.00	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	100	COMP352				N
Fall	COMP	352	D	LEC	DATA STRUCTURES + ALGORITHMS	H820	13.15.00	14.30.00	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	90	COMP 249	COMP 232	COEN 352	1048	NOENG
Fall	COMP	249	D DA	TUT	OBJ-ORIENTED PROGRAMMING II	H627	12.45.00	14.35.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	40	COMP248			1024	N
Fall	COMP	352	D DA	TUT	DATA STRUCTURES + ALGORITHMS	H611	14.45.00	15.35.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	45	COMP 249	COMP 232	COEN 352	1048	NOENG
Fall	COMP	249	D DB	TUT	OBJ-ORIENTED PROGRAMMING II	H621	16.15.00	17.55.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	40	COMP248			1024	N
Fall	COMP	352	D DB	TUT	DATA STRUCTURES + ALGORITHMS	H429	11.45.00	12.35.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	45	COMP 249	COMP 232	COEN 352	1048	NOENG
Fall	COMP	479	D DL	LAB	INFO. RETRIEVAL & WEB SEARCH	H817	14.45.00	16.35.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	12	"COMP352,(ENGR371,COMP233)"				NOENG
Fall	COMP	248	D-X	LAB	OBJ-ORIENTED PROGRAMMING I	H849	19.45.00	20.45.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	35					
Fall	COMP	348	DD	LEC	PRIN./PROGRAMMING LANGUAGES	FGC080	17.45.00	20.15.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	100	COMP249			1044	N
Fall	COMP	201	DD	LEC	INTRODUCTION TO COMPUTING	H620	17.45.00	20.15.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	80				1000	NOENG
Fall	COMP	346	DD	LEC	OPERATING SYSTEMS	FGB040	17.45.00	20.15.00	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	80	"(COMP 228, SOEN 228), COMP 352."			1037	N
Fall	COMP	232	DD	LEC	MATH. FOR COMPUTER SCIENCE	H411	17.45.00	20.15.00	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	100			COMP 238	1006	NOENG
Fall	COMP	473	DD	LEC	PATTERN RECOGNITION	H435	17.45.00	20.15.00	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	48	COMP352				NOENG
Fall	COMP	478	DD	LEC	IMAGE PROCESSING	H509	17.45.00	20.15.00	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	33	COMP352				NOENG
Fall	COMP	361	DD	LEC	ELEMENTARY NUMERICAL METHODS	FGB060	17.45.00	20.15.00	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	90	"COMP249, (COMP238, COMP232)"			1060	NOENG
