term,name,section,component,title,startTime,endTime,monday,tuesday,wednesday,thursday,friday,online,preReq,coReq,association,labRequired,requireEngineer,id
Summer,COMP354,BB,LEC,SOFTWARE ENGINEERING I,1110,1260,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"COMP352, ENCS282",,4987,TRUE,,1
Summer,COMP354,BBBE,TUT,SOFTWARE ENGINEERING I,1050,1100,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"COMP352, ENCS282",,4987,FALSE,,2
Summer,COMP354,BBBF,TUT,SOFTWARE ENGINEERING I,1050,1100,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"COMP352, ENCS282",,4987,FALSE,,3
Fall,COMP248,A-X,LAB,OBJ-ORIENTED PROGRAMMING I,1185,1245,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,4
Fall,COMP248,B-X,LAB,OBJ-ORIENTED PROGRAMMING I,615,675,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,5
Fall,COMP248,C-X,LAB,OBJ-ORIENTED PROGRAMMING I,1230,1290,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,TRUE,,6
Fall,COMP249,D,LEC,OBJ-ORIENTED PROGRAMMING II,885,960,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP248,,1024,TRUE,N,7
Fall,COMP445,D,LEC,DATA COMM + COMP NETWORKS,615,690,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP346,,,TRUE,NOENG,8
Fall,COMP479,D,LEC,INFO. RETRIEVAL & WEB SEARCH,795,870,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,"COMP352,(ENGR371,COMP233)",,,TRUE,,9
Fall,COMP345,D,LEC,"ADVANCED PROGRAM DESIGN, C++",795,870,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,COMP352,,,TRUE,,10
Fall,COMP352,D,LEC,DATA STRUCTURES + ALGORITHMS,795,870,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,COMP 249,COMP 232,1048,TRUE,NOENG,11
Fall,COMP249,D DA,TUT,OBJ-ORIENTED PROGRAMMING II,765,875,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP248,,1024,TRUE,N,12
Fall,COMP352,D DA,TUT,DATA STRUCTURES + ALGORITHMS,885,935,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,COMP 249,COMP 232,1048,FALSE,NOENG,13
Fall,COMP249,D DB,TUT,OBJ-ORIENTED PROGRAMMING II,975,1075,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP248,,1024,TRUE,N,14
Fall,COMP352,D DB,TUT,DATA STRUCTURES + ALGORITHMS,705,755,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP 249,COMP 232,1048,FALSE,NOENG,15
Fall,COMP479,D DL,LAB,INFO. RETRIEVAL & WEB SEARCH,885,995,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"COMP352,(ENGR371,COMP233)",,,TRUE,,16
Fall,COMP248,D-X,LAB,OBJ-ORIENTED PROGRAMMING I,1185,1245,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,,17
Fall,COMP348,DD,LEC,PRIN./PROGRAMMING LANGUAGES,1065,1215,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,COMP249,,1044,TRUE,N,18
Fall,COMP201,DD,LEC,INTRODUCTION TO COMPUTING,1065,1215,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,1000,TRUE,NOENG,19
Fall,COMP346,DD,LEC,OPERATING SYSTEMS,1065,1215,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"(COMP 228, SOEN 228), COMP 352.",,7330,TRUE,N,20
Fall,COMP232,DD,LEC,MATH. FOR COMPUTER SCIENCE,1065,1215,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1006,TRUE,NOENG,21
Fall,COMP473,DD,LEC,PATTERN RECOGNITION,1065,1215,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COMP352,,,TRUE,NOENG,22
Fall,COMP478,DD,LEC,IMAGE PROCESSING,1065,1215,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP352,,,TRUE,NOENG,23
Fall,COMP361,DD,LEC,ELEMENTARY NUMERICAL METHODS,1065,1215,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"COMP249, (COMP238, COMP232)",,4798,TRUE,,24
Fall,COMP326,DD,LEC,COMPUTER ARCHITECTURE,1065,1215,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP346,,1031,TRUE,NOENG,25
Fall,COMP361,DDDA,TUT,ELEMENTARY NUMERICAL METHODS,1230,1280,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"COMP249, (COMP238, COMP232)",,4798,FALSE,,26
Fall,COMP326,DDDA,TUT,COMPUTER ARCHITECTURE,1230,1280,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,COMP346,,1031,FALSE,NOENG,27
Fall,COMP201,DDDA,TUT,INTRODUCTION TO COMPUTING,1230,1280,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1000,FALSE,NOENG,28
Fall,COMP348,DDDA,TUT,PRIN./PROGRAMMING LANGUAGES,885,935,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,COMP249,,1044,FALSE,N,29
Fall,COMP232,DDDA,TUT,MATH. FOR COMPUTER SCIENCE,1230,1330,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,1006,FALSE,NOENG,30
Fall,COMP346,DDDA,TUT,OPERATING SYSTEMS,1230,1280,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"(COMP 228, SOEN 228), COMP 352.",,7330,TRUE,N,31
Fall,COMP201,DDDB,TUT,INTRODUCTION TO COMPUTING,1230,1280,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,1000,FALSE,NOENG,32
Fall,COMP348,DDDB,TUT,PRIN./PROGRAMMING LANGUAGES,885,935,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,COMP249,,1044,FALSE,N,33
